"","State","Year","MtCO2e level","Resident Population","Percent Change in Resident Population","Resident Population Density","Resident Population Density Rank"
"1","Alabama",1990,69.37,4040587,3.8,79.8,27
"2","Alabama",2000,100.52,4447100,10.1,87.8,28
"3","Alabama",2010,89.93,4779736,7.5,94.4,29
"4","Alabama",2020,41.44,5024279,5.1,99.2,29
"5","Alaska",1990,12.64,550043,36.9,1,52
"6","Alaska",2000,22.41,626932,14,1.1,52
"7","Alaska",2010,14.79,710231,13.3,1.2,52
"8","Alaska",2020,17.62,733391,3.3,1.3,52
"9","Arizona",1990,67.5,3665228,34.8,32.3,39
"10","Arizona",2000,95.86,5130632,40,45.2,38
"11","Arizona",2010,109.91,6392017,24.6,56.3,35
"12","Arizona",2020,92.49,7151502,11.9,62.9,35
"13","Arkansas",1990,13.45,2350725,2.8,45.2,37
"14","Arkansas",2000,34.07,2673400,13.7,51.4,36
"15","Arkansas",2010,48.56,2915918,9.1,56,36
"16","Arkansas",2020,38.17,3011524,3.3,57.9,36
"17","California",1990,336.9,29760021,25.7,191,14
"18","California",2000,380.98,33871648,13.8,217.4,14
"19","California",2010,361,37253956,10,239.1,13
"20","California",2020,312.33,39538223,6.1,253.7,13
"21","Colorado",1990,91.13,3294394,14,31.8,40
"22","Colorado",2000,117.43,4301261,30.6,41.5,39
"23","Colorado",2010,135.49,5029196,16.9,48.5,39
"24","Colorado",2020,116.01,5773714,14.8,55.7,39
"25","Connecticut",1990,37.33,3287116,5.8,678.8,6
"26","Connecticut",2000,41,3405565,3.6,703.3,6
"27","Connecticut",2010,34.28,3574097,4.9,738.1,6
"28","Connecticut",2020,31.48,3605944,0.9,744.7,6
"29","Delaware",1990,18.09,666168,12.1,341.9,9
"30","Delaware",2000,16.49,783600,17.6,402.1,9
"31","Delaware",2010,12.81,897934,14.6,460.8,8
"32","Delaware",2020,12.78,989948,10.2,508,8
"33","District of Columbia",1990,4.6,606900,-4.9,9941.3,1
"34","District of Columbia",2000,5.38,572059,-5.7,9370.6,1
"35","District of Columbia",2010,3.88,601723,5.2,9856.5,1
"36","District of Columbia",2020,3.08,689545,14.6,11280,1
"37","Florida",1990,180.3,12937926,32.7,241.3,12
"38","Florida",2000,257.63,15982378,23.5,298,10
"39","Florida",2010,250.4,18801310,17.6,350.6,10
"40","Florida",2020,231.46,21538187,14.6,401.4,10
"41","Georgia",1990,108.76,6478216,18.6,112.6,23
"42","Georgia",2000,140.2,8186453,26.4,142.3,20
"43","Georgia",2010,139.68,9687653,18.3,168.4,20
"44","Georgia",2020,84.1,10711908,10.6,185.6,19
"45","Hawaii",1990,21.43,1108229,14.9,172.6,15
"46","Hawaii",2000,21.47,1211537,9.3,188.6,15
"47","Hawaii",2010,21.68,1360301,12.3,211.8,15
"48","Hawaii",2020,17.51,1455271,7,226.6,15
